Q82|Store Sales Inventory|Reports items in inventory with specific constraints|M,A,T
Q92|Web Sales Discount|Finds web items sold with excess discount|J,A,Q,T
Q37|Item Inventory Analysis|Reports items in inventory within price and date constraints|M,A,T
Q46|Store Sales Household Analysis|Reports store sales by customer household across cities|M,A,S,T
Q50|Store Sales Returns Analysis|Analyzes store sales return patterns|M,A,S,T
Q72|Catalog Sales Inventory|Reports catalog sales vs inventory analysis|M,A,N,T
Q13|Store Sales Demographics Analysis|Computes aggregate statistics filtered by demographics and geography|M,A,T
Q34|Store Sales County Household|Analyzes customer purchases by county and household demographics|M,A,Q,T
Q48|Store Sales Quantity Demographics|Computes sum of store sales quantity filtered by demographics|M,A,T
Q62|Web Sales Delivery Analysis|Analyzes web sales delivery times by warehouse, ship mode, and web site|M,A,S,T
Q99|Catalog Sales Delivery Analysis|Analyzes catalog sales delivery times by warehouse, ship mode, and call center|M,A,S,T
Q45|Web Sales Customer Zip Analysis|Reports web sales by customer zip code with OR filter on zip or item|M,A,S,T
Q90|Web Sales AM/PM Ratio Analysis|Computes the ratio of AM to PM web sales counts|M,A,T
Q91|Call Center Returns Analysis|Reports catalog returns by call center with demographic filtering|M,A,S,T
Q30|Web Returns Customer Analysis|Identifies customers with web return amounts above state average|M,A,S,T
Q81|Catalog Returns Customer Analysis|Identifies customers with catalog return amounts above state average|M,A,S,T
Q83|Cross-Channel Returns Analysis|Compares return quantities across store, catalog, and web channels|M,A,S,T
Q41|Item Dimension Analysis|Finds product names from items matching manufacturer and attribute criteria|F,S,T
Q86|Web Sales ROLLUP with Rank|Aggregates web sales with ROLLUP and hierarchical ranking|M,A,N,T
Q36|Gross Margin ROLLUP with Rank|Computes gross margin with ROLLUP and hierarchical ranking by state|M,A,N,T
Q51|Cumulative Web/Store Sales|Compares cumulative web and store sales where web exceeds store|M,A,N,T
Q47|Store Sales Rolling Average|Analyzes monthly store sales with rolling average deviation|M,A,N,T
Q57|Catalog Sales Rolling Average|Analyzes monthly catalog sales with rolling average deviation|M,A,N,T
Q67|Extensive ROLLUP with Rank|8-column ROLLUP on item/date/store with hierarchical ranking|M,A,N,T
Q70|Store Sales ROLLUP with Subquery Filter|State/county ROLLUP with top-5 states subquery filter|M,A,N,Q,T
Q31|Store/Web Quarterly Sales Growth|Compares Q1->Q2 and Q2->Q3 growth between store and web channels by county|M,A,T
Q33|Three-Channel Sales by Manufacturer|Union of store/catalog/web sales by manufacturer filtered by category|M,A,N,T
Q56|Three-Channel Sales by Item (Color)|Union of store/catalog/web sales by item filtered by color|M,A,N,T
Q60|Three-Channel Sales by Item (Category)|Union of store/catalog/web sales by item filtered by category|M,A,N,T
Q71|Three-Channel Sales by Brand and Time|Union of web/catalog/store sales by brand and meal time|M,A,N,T
Q74|Store/Web Customer Year-over-Year Growth|Finds customers where web sales growth exceeds store sales growth|M,A,N,T
Q76|Three-Channel Sales with NULL Column Filter|Sales analysis across channels where specific columns are NULL|M,A,N,T
Q97|Store/Catalog Customer-Item Overlap|Analyzes customer-item purchase overlap between store and catalog channels|M,A,N,T
Q49|Three-Channel Return Ratio Ranking|Calculates return and currency ratios per item across channels with ranking|M,A,W,N,T
Q75|Three-Channel Sales with Returns Year-over-Year|Year-over-year comparison of net sales (sales - returns) by item attributes|M,A,N,T
Q78|Three-Channel Sales without Returns Comparison|Compares store sales to combined web+catalog sales excluding returned items|M,A,N,T
Q80|Three-Channel Sales-Returns with ROLLUP|Aggregates sales and returns across channels with ROLLUP for subtotals|M,A,N,T
Q77|Three-Channel Sales-Returns with Separate CTEs|Aggregates sales and returns separately for each channel with ROLLUP|M,A,N,T
Q58|Three-Channel Item Sales Balance Check|Items with balanced sales across all channels within 10% range|M,A,N,T
Q54|Catalog+Web Customer Store Revenue Segments|Segments catalog/web customers by their store sales revenue|M,A,N,T
Q4|Customer Year-over-Year Comparison|Compares customer totals across store/catalog/web, filtering for catalog growth|M,A,N,T
Q5|Three-Channel Sales-Returns Union with ROLLUP|Unions sales and returns per channel then aggregates with ROLLUP|M,A,N,T
Q10|Customer Demographics Multi-Channel|Demographics for customers in store AND (web OR catalog)|M,A,Q,T
Q11|Store/Web Year-over-Year Customer Comparison|Compares customer totals between store and web channels year-over-year|M,A,N,T
Q35|Customer Demographics Multi-Channel Quarterly|Demographics with state for customers in store AND (web OR catalog)|M,A,Q,T
Q38|Three-Channel Customer INTERSECT|Count customers who bought in all three channels on same date|M,Q,T
Q87|Three-Channel Customer EXCEPT|Count customers who bought from store but NOT catalog/web|M,Q,T
Q69|Customer Demographics Store-Only|Demographics for customers who only shop in store (NOT web/catalog)|M,A,Q,T
Q40|Catalog Sales Before/After Returns|Compares catalog sales before/after date accounting for returns|M,A,N,T
Q16|Catalog Multi-Warehouse Orders Not Returned|Catalog orders shipped from multiple warehouses not returned|M,A,Q,T
Q17|Store/Catalog Sales-Returns Statistics|Store sales/returns joined with catalog sales with quantity statistics|M,A,N,T
Q18|Catalog Sales Demographics ROLLUP|Catalog sales with demographics aggregated with ROLLUP on geography|M,A,N,T
Q29|Store/Catalog Sales-Returns Aggregation|Store sales/returns joined with catalog sales aggregated by item/store|M,A,N,T
Q27|Store Sales Demographics ROLLUP|Store sales with demographics aggregated with ROLLUP on item/state|M,A,N,T
Q93|Store Sales Returns Actual Sales|Store sales with returns computing actual sales by customer filtered by reason|M,A,N,T
Q94|Web Multi-Warehouse Orders Not Returned|Web orders shipped from multiple warehouses that were not returned|M,A,Q,T
Q44|Store Sales Item Ranking|Ranks items by net profit for a store, finding best and worst performers|M,A,W,T
Q59|Store Weekly Sales Year-over-Year|Compares weekly sales by day of week between current and prior year|M,A,N,T
Q61|Promotional Sales Ratio|Compares promotional sales to total sales for a category by GMT offset|M,A,N,T
Q95|Web Multi-Warehouse Orders With Returns|Web orders shipped from multiple warehouses that were returned|M,A,Q,T
Q85|Web Sales Returns Demographics|Analyzes web returns by reason with customer demographics filtering|M,A,N,T
Q66|Web/Catalog Warehouse Monthly Sales|Union of web and catalog sales aggregated by warehouse and month|M,A,N,T
Q8|Store Sales Zip Code Net Profit|Analyzes store net profit filtered by preferred customer zip codes|M,A,Q,T
Q9|Store Sales Quantity Bucket Analysis|Computes conditional averages across quantity buckets|A,N,T
Q14|Cross-channel Item Sales|Finds items sold across all channels with ROLLUP aggregation|M,A,N,T
Q23|Frequent Items Best Customers|Sum of catalog+web sales for frequent items by best customers|M,A,Q,T
Q24|Store Sales Returns by Color|Store sales with returns filtered by market and color threshold|M,A,Q,T
Q28|Store Sales Quantity Bucket Extended|Extended price analysis across 6 quantity buckets with filters|A,N,T
Q88|Store Sales Time Period Counts|Counts store sales by 8 half-hour time periods with demographics|M,A,N,T
Q21|Inventory Before/After Date|Compares inventory quantities before and after a specific date by warehouse|M,A,N,T
Q22|Inventory ROLLUP by Product|Analyzes inventory with ROLLUP by product name, brand, class, category|M,A,N,T
Q39|Inventory Variance Monthly|Compares inventory variance (coefficient of variation) across consecutive months|M,A,N,T
Q64|Cross-Sales Income Band|Complex cross-sales analysis with income band filtering and year-over-year comparison|M,A,Q,N,T
Q84|Customer Income Band Lookup|Customer lookup filtered by city and income band with store returns|M,Q,T
